270.000,275.000,57.000,19.000
267.716,265.021,58.261,19.420
267.568,255.693,58.261,19.420
267.385,246.108,59.550,19.850
267.511,236.625,60.868,20.289
266.035,235.598,62.214,20.738
266.823,237.173,63.591,21.197
267.629,238.447,64.998,21.666
269.137,239.065,66.436,22.145
266.125,240.046,67.906,22.635
265.911,241.049,69.408,23.136
266.058,242.074,70.944,23.648
266.209,242.747,72.514,24.171
267.510,242.671,74.118,24.706
268.840,239.857,75.758,25.253
265.005,241.376,77.434,25.811
266.394,242.519,79.147,26.382
265.310,243.271,80.898,26.966
263.349,241.053,82.688,27.563
262.216,242.274,84.518,28.173
263.287,242.631,86.388,28.796
261.192,242.540,88.299,29.433
259.983,241.051,90.252,30.084
257.794,241.432,92.249,30.750
257.017,241.821,94.290,31.430
255.725,241.225,96.377,32.126
255.421,241.632,98.509,32.836
253.033,241.528,100.688,33.563
251.123,241.422,102.916,34.305
249.170,241.314,105.193,35.064
248.284,241.758,107.520,35.840
246.244,241.645,109.899,36.633
244.738,240.950,112.331,37.444
242.015,240.832,114.816,38.272
239.231,241.317,117.357,39.119
237.005,241.194,119.953,39.984
233.464,241.068,122.607,40.869
229.198,240.939,125.320,41.773
224.177,241.468,128.092,42.697
221.071,242.009,130.926,43.642
220.073,242.342,130.926,43.642
217.589,242.894,133.823,44.608
215.050,243.460,136.784,45.595
216.093,242.417,136.784,45.595
225.479,242.764,136.784,45.595
244.597,243.112,136.784,45.595
263.716,243.460,136.784,45.595
282.139,243.112,136.784,45.595
300.563,244.155,136.784,45.595
315.510,243.112,136.784,45.595
313.077,244.155,136.784,45.595
310.644,243.807,136.784,45.595
308.210,243.460,136.784,45.595
304.894,243.316,139.810,46.603
303.716,243.169,142.904,47.635
309.163,243.532,142.904,47.635
325.506,243.895,142.904,47.635
340.396,241.353,142.904,47.635
345.117,242.443,142.904,47.635
348.434,242.292,146.065,48.688
344.122,241.369,149.297,49.766
346.014,241.212,152.600,50.867
341.509,240.247,155.977,51.992
342.662,240.083,159.428,53.143
345.522,239.915,162.955,54.318
360.017,239.501,162.955,54.318
376.167,237.430,162.955,54.318
392.318,237.016,162.955,54.318
410.125,236.602,162.955,54.318
420.783,235.572,166.560,55.520
420.359,235.995,166.560,55.520
418.243,236.418,166.560,55.520
418.666,236.842,166.560,55.520
417.396,236.418,166.560,55.520
416.973,237.688,166.560,55.520
417.396,238.111,166.560,55.520
413.587,238.535,166.560,55.520
415.703,238.958,166.560,55.520
416.127,237.688,166.560,55.520
417.396,238.111,166.560,55.520
413.587,237.688,166.560,55.520
416.550,238.111,166.560,55.520
414.433,237.688,166.560,55.520
416.550,238.111,166.560,55.520
411.894,237.688,166.560,55.520
415.703,238.111,166.560,55.520
419.513,238.535,166.560,55.520
435.174,237.265,166.560,55.520
429.672,349.435,166.560,55.520
445.333,342.239,166.560,55.520
465.888,337.673,170.245,56.748
471.635,335.698,174.012,58.004
465.581,332.763,177.862,59.287
472.361,335.927,177.862,59.287
466.173,332.926,181.797,60.599
460.806,332.735,185.820,61.940
466.001,333.207,185.820,61.940
461.495,333.012,189.931,63.310
456.890,331.811,194.133,64.711
458.326,332.630,198.428,66.143
450.762,329.100,198.428,66.143
459.196,324.459,194.197,64.732
472.921,318.111,198.493,66.164
449.267,306.389,202.885,67.628
439.471,297.623,202.885,67.628
445.250,298.480,207.374,69.125
437.345,305.331,207.374,69.125
433.656,310.074,207.374,69.125
406.779,333.789,207.374,69.125
394.658,341.694,207.374,69.125
389.915,341.167,207.374,69.125
386.226,341.694,207.374,69.125
387.807,340.113,207.374,69.125
388.334,338.532,207.374,69.125
393.077,334.843,207.374,69.125
393.604,333.262,207.374,69.125
389.915,336.951,207.374,69.125
389.388,334.316,207.374,69.125
386.753,338.005,207.374,69.125
381.725,339.975,211.962,70.654
377.704,339.752,216.652,72.217
378.254,339.201,216.652,72.217
375.501,343.055,216.652,72.217
370.248,345.112,221.445,73.815
